casename, Lx,  Lz,   Nx,    Nz,   z0,    d,     amp,  wl,  tilting
a2t1,     40,  0.5,  8192,  256,  0.45,  0.01,  0.2,  0.30,  0.01
a2t2,     20,  0.5,  4096,  256,  0.45,  0.01,  0.2,  0.30,  0.02
a2t3,     10,  0.5,  2048,  256,  0.45,  0.01,  0.2,  0.30,  0.03
a2t4,     10,  0.5,  2048,  256,  0.45,  0.01,  0.2,  0.30,  0.04
a2t5,     10,  0.5,  2048,  256,  0.45,  0.01,  0.2,  0.30,  0.05
a3t1,     40,  0.5,  8192,  256,  0.45,  0.01,  0.3,  0.35,  0.01
a3t2,     20,  0.5,  4096,  256,  0.45,  0.01,  0.3,  0.35,  0.02
a3t3,     10,  0.5,  2048,  256,  0.45,  0.01,  0.3,  0.35,  0.03
a3t4,     10,  0.5,  2048,  256,  0.45,  0.01,  0.3,  0.35,  0.04
a3t5,     10,  0.5,  2048,  256,  0.45,  0.01,  0.3,  0.35,  0.05

